,title,imgurl,date,blurp,url,text,category,source
12,Robots and Drones Are Forming a Delivery Voltron,https://gizmodo.com/app/uploads/2024/10/A-Serve-Robotics-autonomous-delivery-robot.jpg,02/10/2024,Do you trust two autonomous vehicles with your burrito delivery?,https://gizmodo.com/robots-and-drones-are-forming-a-delivery-voltron-2000506073,"A new corporate partnership will attempt to use robots to deliver food to drones, which will then deliver the goods to humans (supposedly). It’s like DoorDash, except machines do everything but make … [+2007 chars]",artificial intelligence,gizmodo.com
13,OpenFLUX.1,https://cdn-thumbnails.huggingface.co/social-thumbnails/models/ostris/OpenFLUX.1.png,04/10/2024,We’re on a journey to advance and democratize artificial intelligence through open source and open science.,https://huggingface.co/ostris/OpenFLUX.1,"After numerous iterations and spending way too much of my own money on compute to train this, I think it is finally at the point I am happy to consider it a beta. I am still going to continue to trai… [+974 chars]",artificial intelligence,huggingface.co
14,Nvidia releases NVLM 1.0 72B open weight model,https://cdn-thumbnails.huggingface.co/social-thumbnails/models/nvidia/NVLM-D-72B.png,02/10/2024,We’re on a journey to advance and democratize artificial intelligence through open source and open science.,https://huggingface.co/nvidia/NVLM-D-72B,"Model Details
Today (September 17th, 2024), we introduce NVLM 1.0, a family of frontier-class multimodal large language models (LLMs) that achieve state-of-the-art results on vision-language tasks, … [+10209 chars]",artificial intelligence,huggingface.co
15,Improving Parquet Dedupe on Hugging Face Hub,https://huggingface.co/blog/assets/improve_parquet_dedupe/thumbnail.png,08/10/2024,We’re on a journey to advance and democratize artificial intelligence through open source and open science.,https://huggingface.co/blog/improve_parquet_dedupe,"Improving Parquet Dedupe on Hugging Face Hub
The Xet team at Hugging Face is working on improving the efficiency of the Hub's
storage architecture to make it easier and quicker for users to
store … [+5264 chars]",artificial intelligence,huggingface.co
16,OpenAI rakes in over $6 billion in new funding,,02/10/2024,"Now that OpenAI is becoming a for-profit company, it’s making a tidy profit in the process. The Wall Street Journal
 reported that OpenAI has raised $6.6 billion in new funding from investors, nearly doubling its value to $157 billion. The new funding also m…",https://consent.yahoo.com/v2/collectConsent?sessionId=1_cc-session_ae113eb3-b7a2-4396-8423-0c590ec338d2,"If you click 'Accept all', we and our partners, including 240 who are part of the IAB Transparency &amp; Consent Framework, will also store and/or access information on a device (in other words, use … [+678 chars]",artificial intelligence,yahoo entertainment
17,OpenAI Says China-Linked Group Tried to Phish Its Employees,https://a.fsdn.com/sd/topics/security_64.png,09/10/2024,"OpenAI said a group with apparent ties to China tried to carry out a phishing attack on its employees, reigniting concerns that bad actors in Beijing want to steal sensitive information from top US artificial intelligence companies. From a report: The AI star…",https://it.slashdot.org/story/24/10/09/1515226/openai-says-china-linked-group-tried-to-phish-its-employees,The AI startup said Wednesday that a suspected China-based group called SweetSpecter posed as a user of OpenAI's chatbot ChatGPT earlier this year and sent customer support emails to staff. The email… [+692 chars],artificial intelligence,slashdot.org
18,Nobel Prize in chemistry awarded to scientists for work on proteins,https://npr.brightspotcdn.com/dims3/default/strip/false/crop/3510x1974+0+183/resize/1400/quality/100/format/jpeg/?url=http%3A%2F%2Fnpr-brightspot.s3.amazonaws.com%2F43%2F60%2F5b1f9f9b439cb8771e320386b240%2Fap24283354910109.jpg,09/10/2024,"The Nobel Prize in chemistry was awarded Wednesday to David Baker, Demis Hassabis and John Jumper for their work with proteins. The awards continue with the literature prize on Thursday.",https://www.npr.org/2024/10/09/g-s1-27123/nobel-prize-in-chemistry-awarded-to-david-baker-demis-hassabis-and-john-jumper,"STOCKHOLM The Nobel Prize in chemistry was awarded Wednesday to David Baker, Demis Hassabis and John Jumper for their work with proteins, the building blocks of life.
Baker works at the University o… [+2203 chars]",artificial intelligence,npr
19,Microsoft’s Nuclear Power Deal Could Saddle Taxpayers With $1.6 Billion Federal Loan,https://gizmodo.com/app/uploads/2024/10/Three-Mile-Island-Nuclear-Plant-1-1.jpg,03/10/2024,A new scheme for AI fuel could offload financial risk from Microsoft's business partner onto the American taxpayer.,https://gizmodo.com/microsofts-nuclear-power-deal-could-saddle-taxpayers-with-1-6-billion-federal-loan-2000506967,"In an effort to find a power source big enough to fuel its ambitious artificial intelligence business, Microsoft has sought to revive a shuttered nuclear power plant in Pennsylvania. AI notably needs… [+3144 chars]",artificial intelligence,gizmodo.com
20,"Google AI, ChatGPT, Meta AI, Mistral: All These AI Tools Nearly Unlimited for $39 Lifetime",https://gizmodo.com/app/uploads/2024/09/openai-o1-preview-chatgpt-altman.jpg,05/10/2024,It's the best deal if you want to centralize all your AI tools in one place.,https://gizmodo.com/google-ai-chatgpt-meta-ai-mistral-all-these-ai-tools-nearly-unlimited-for-39-lifetime-2000507632,"In the rapidly evolving world of artificial intelligence, users are facing a growing challenge: the rising costs of AI-powered tools and services. This trend is exemplified by OpenAI’s recent plans f… [+3272 chars]",artificial intelligence,gizmodo.com
21,"Congressman Refuses to Debate, so His Opponent Is Using an AI Stand-In",https://gizmodo.com/app/uploads/2024/10/GettyImages-1494878652.jpg,09/10/2024,"Sitting congressman Don Beyer won’t bother debating Bentley Hensel, a long-shot independent candidate, so Hensel made an AI version of Beyer to debate instead.",https://gizmodo.com/congressman-refuses-to-debate-so-his-opponent-is-using-an-ai-stand-in-2000509810,"Lets say you want to make a long-shot run for Congress as an independent in a deeply Democratic district of Virginia, but the incumbent in the race wont give you airtime to debate your platform in fr… [+3125 chars]",artificial intelligence,gizmodo.com
